verdict,worth,soundness,soundness_score,rubric_coverage,audited_at,unknowns,repo_url,id,name,url,event,event_org,domain,subsystem,moves,stack,coolness,engagement,validation,event_prestige,recency,specificity,signal_richness,redundancy,likes,award,depth,has_deep,event_date,harvested_at,provenance,why_not_promoted,would_settle_it
,,,,,,,,attaindesk,attainDesk,https://devpost.com/software/attaindesk,Build with Gemini XPRIZE,XPRIZE,"Creative Media, Story & Play",Generative Video & Audio,crew-of-specialists|single-input-ux,,0.3905,0.220,0.100,0.820,0.951,0.600,0.280,0.161,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,longevitygreenlight,"Agent sells sleep fix. Agent judges, buys sleep fix.",https://devpost.com/software/longevitygreenlight,Build with Gemini XPRIZE,XPRIZE,"Money, Commerce & Marketplaces",Fintech & Personal Finance,,,0.3896,0.220,0.100,0.820,0.951,0.520,0.280,0.075,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,scholesa-education,Scholesa Education,https://devpost.com/software/scholesa-education,Build with Gemini XPRIZE,XPRIZE,Learning & Knowledge Systems,General,,,0.3896,0.220,0.100,0.820,0.951,0.520,0.280,0.075,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,civil-dialog,Civil Dialog,https://devpost.com/software/civil-dialog,Devpost Software Showcase — Staff Picks & Rails,Devpost Editorial,"Public Trust, Safety & Compliance",Civics & Discourse,,,0.3886,0.220,0.550,0.380,1.000,0.180,0.280,0.040,,Featured by Devpost Staff,listing,0,2026-09-18,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,billright,Billright,https://devpost.com/software/billright,Build with Gemini XPRIZE,XPRIZE,"Public Trust, Safety & Compliance",General,make-the-invisible-measurable,,0.3874,0.220,0.100,0.820,0.951,0.520,0.280,0.094,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,wp-on-device-ai-assistant,WP On-Device AI Assistant,https://devpost.com/software/wp-on-device-ai-assistant,Devpost Software Showcase — Staff Picks & Rails,Devpost Editorial,Developer Tooling & Code Intelligence,IDE & Terminal Assistants,offline-first-fallback|wrap-the-legacy-surface,,0.3874,0.220,0.550,0.380,1.000,0.180,0.280,0.050,,Unknown,listing,0,2026-09-18,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,dentops,DentOps,https://devpost.com/software/dentops,Build with Gemini XPRIZE,XPRIZE,"Health, Care & Human Performance",Care Navigation & Records,,react,0.3863,0.220,0.100,0.820,0.951,0.570,0.280,0.161,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,greenai-smart-tree-plantation-tracker-vlynce,GreenAI - Smart Tree Plantation Tracker,https://devpost.com/software/greenai-smart-tree-plantation-tracker-vlynce,Devpost Software Showcase — Staff Picks & Rails,Devpost Editorial,"Climate, Energy & the Physical World",Agriculture & Environment,artifacts-not-forms,,0.3854,0.220,0.550,0.380,1.000,0.180,0.280,0.067,,Unknown,listing,0,2026-09-18,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,insightify-6rh0sc,Insightify,https://devpost.com/software/insightify-6rh0sc,Devpost Software Showcase — Staff Picks & Rails,Devpost Editorial,Accessibility & Assistive Tech,Language & Translation,,,0.3854,0.220,0.550,0.380,1.000,0.180,0.280,0.067,,Unknown,listing,0,2026-09-18,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,yandle-poq74e,Yandle,https://devpost.com/software/yandle-poq74e,Build with Gemini XPRIZE,XPRIZE,Emerging & Cross-Domain,Unclassified,artifacts-not-forms,,0.3834,0.220,0.100,0.820,0.951,0.540,0.280,0.150,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,airlock-s2kidr,Airlock,https://devpost.com/software/airlock-s2kidr,Agentic Cinema: The Blockbuster Hackathon,Google,"Creative Media, Story & Play",Design & Visual Tools,,,0.3826,0.220,0.100,0.704,0.986,0.520,0.280,0.028,,Unknown,listing,0,2026-09-09,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,setsync,SetSync,https://devpost.com/software/setsync,Build with Gemini XPRIZE,XPRIZE,"Creative Media, Story & Play",Generative Video & Audio,,,0.3826,0.220,0.100,0.820,0.951,0.480,0.280,0.087,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
thin,strong,weak,0.2656,0.64,2026-09-19,1,,medvoice-y87kei,Medvoice,https://devpost.com/software/medvoice-y87kei,Hack for Humanity | Summer 2026,Hack for Humanity,"Health, Care & Human Performance",Care Navigation & Records,long-horizon-watcher,firebase|firestore|html5|css3|javascript|web-speech-api|aws,0.3814,0.281,0.100,0.467,0.978,0.320,0.750,0.065,8,Unknown,deep,1,2026-09-04,2026-09-18,audited-hold,verdict:thin|soundness 0.27 is too low to certify; stays in the pool|unknown: numbers_with_arithmetic — no measurable outcome is asserted; a benchmark table would settle it|hazard: clinical (no team disclaimer found),"no measurable outcome is asserted; a benchmark table would settle it|artifact_exists: a repository, deployment or store listing we can resolve|stack_consistency: a repository to compare the declared stack against|build_is_real: a readable source tree (a repo link, then `python3 pipeline/repo_verify.py`)|numbers_add_up: a denominator and baseline for the headline figure, or the raw log behind it"
,,,,,,,,toyoboaz,Gospel Align,https://devpost.com/software/toyoboaz,Build with Gemini XPRIZE,XPRIZE,"Climate, Energy & the Physical World",Energy & Mobility,,gemini|rag,0.3812,0.220,0.100,0.820,0.951,0.420,0.280,0.029,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,agent-launchpad-self-healing-middleware-for-agent-runs,Agent Launchpad,https://devpost.com/software/agent-launchpad-self-healing-middleware-for-agent-runs,Devpost Software Showcase — Staff Picks & Rails,Devpost Editorial,Agentic Autonomy & Orchestration,Agent Guardrails & Gating,deterministic-guardrail|institutional-grade-reliability,,0.3805,0.220,0.550,0.380,1.000,0.180,0.280,0.107,,Unknown,listing,0,2026-09-18,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,duet-l0ks3b,DUET,https://devpost.com/software/duet-l0ks3b,Build with Gemini XPRIZE,XPRIZE,Emerging & Cross-Domain,Unclassified,,bluetooth,0.3805,0.220,0.100,0.820,0.951,0.450,0.280,0.069,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,snapdragon-ai-multilingual-translator,Snapdragon AI: Multilingual Translator,https://devpost.com/software/snapdragon-ai-multilingual-translator,Devpost Software Showcase — Staff Picks & Rails,Devpost Editorial,Accessibility & Assistive Tech,Language & Translation,offline-first-fallback,,0.3805,0.220,0.550,0.380,1.000,0.180,0.280,0.107,,Featured by Devpost Staff,listing,0,2026-09-18,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,fragmentos-del-crepusculo,Fragmentos del crepusculo,https://devpost.com/software/fragmentos-del-crepusculo,Build with Gemini XPRIZE,XPRIZE,Agentic Autonomy & Orchestration,General,,gemini,0.3800,0.220,0.100,0.820,0.951,0.430,0.280,0.050,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,interview-coach-oetb68,Interview Coach,https://devpost.com/software/interview-coach-oetb68,Build with Gemini XPRIZE,XPRIZE,"Creative Media, Story & Play",Generative Video & Audio,make-the-invisible-measurable,,0.3797,0.220,0.100,0.820,0.951,0.480,0.280,0.111,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,kiraflo,KiraFlo,https://devpost.com/software/kiraflo,Build with Gemini XPRIZE,XPRIZE,Agentic Autonomy & Orchestration,General,,,0.3793,0.220,0.100,0.820,0.951,0.520,0.280,0.161,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,truthshield-ai,TruthShield AI,https://devpost.com/software/truthshield-ai,Build with Gemini XPRIZE,XPRIZE,"Public Trust, Safety & Compliance",Civics & Discourse,,gemini,0.3781,0.220,0.100,0.820,0.951,0.490,0.280,0.136,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,fpl-optimizer-the-ultimate-ai-edge,FPL Optimizer: The Ultimate AI Edge,https://devpost.com/software/fpl-optimizer-the-ultimate-ai-edge,Build with Gemini XPRIZE,XPRIZE,Agentic Autonomy & Orchestration,General,offline-first-fallback,gemini,0.3780,0.220,0.100,0.820,0.951,0.430,0.280,0.067,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,opentank-ai,HIVEWAVE AI,https://devpost.com/software/opentank-ai,Build with Gemini XPRIZE,XPRIZE,Learning & Knowledge Systems,Tutors & Adaptive Learning,data-flywheel,,0.3780,0.220,0.100,0.820,0.951,0.440,0.280,0.079,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,agenticcinestars,Continuity - Premiere Control Room Agents,https://devpost.com/software/agenticcinestars,Agentic Cinema: The Blockbuster Hackathon,Google,Agentic Autonomy & Orchestration,Multi-Agent Crews,human-holds-the-last-button|crew-of-specialists,wearable,0.3775,0.220,0.100,0.704,0.986,0.570,0.280,0.128,,Unknown,listing,0,2026-09-09,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,learnway-ai,LearnWay AI,https://devpost.com/software/learnway-ai,Build with Gemini XPRIZE,XPRIZE,Learning & Knowledge Systems,Tutors & Adaptive Learning,,gemini,0.3771,0.220,0.100,0.820,0.951,0.470,0.280,0.121,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,postveo,PostVeo,https://devpost.com/software/postveo,Build with Gemini XPRIZE,XPRIZE,Learning & Knowledge Systems,Tutors & Adaptive Learning,,gemini,0.3766,0.220,0.100,0.820,0.951,0.430,0.280,0.079,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
thin,niche,weak,0.3281,0.64,2026-09-19,0,,neuroguard-ai-0qb34c,NeuroGuard AI (v2),https://devpost.com/software/neuroguard-ai-0qb34c,Hack for Humanity | Summer 2026,Hack for Humanity,"Health, Care & Human Performance",Screening & Diagnostics,deterministic-guardrail,mediapipe|opencv|numpy|pandas|scikit-learn|streamlit|python|html/css|github|react,0.3765,0.177,0.100,0.467,0.978,0.540,0.750,0.103,3,Unknown,deep,1,2026-09-04,2026-09-18,audited-hold,verdict:thin|soundness 0.33 is too low to certify; stays in the pool|hazard: clinical,"artifact_exists: a repository, deployment or store listing we can resolve|stack_consistency: a repository to compare the declared stack against|build_is_real: a readable source tree (a repo link, then `python3 pipeline/repo_verify.py`)|numbers_add_up: a denominator and baseline for the headline figure, or the raw log behind it|limits_disclosed: a statement of what the system itself cannot do (accuracy, coverage, privacy, failure modes)"
,,,,,,,,exefast,ExeFast,https://devpost.com/software/exefast,Build with Gemini XPRIZE,XPRIZE,Agentic Autonomy & Orchestration,General,,gcp,0.3763,0.220,0.100,0.820,0.951,0.430,0.280,0.081,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,bidpilot-ai-co-pilot-for-public-tenders,BidPilot - AI Co-pilot for Public Tenders,https://devpost.com/software/bidpilot-ai-co-pilot-for-public-tenders,Build with Gemini XPRIZE,XPRIZE,Agentic Autonomy & Orchestration,General,,,0.3730,0.220,0.100,0.820,0.951,0.380,0.280,0.050,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
duplicate,strong,weak,0.3281,0.64,2026-09-19,0,,gemini-box,Gemini-Box,https://devpost.com/software/gemini-box,Build with Gemini XPRIZE,XPRIZE,Agentic Autonomy & Orchestration,Agent Guardrails & Gating,verification-first|evidence-graph|deterministic-guardrail|institutional-grade-reliability,rust|ed25519|json-schema|github-actions|vercel|webassembly|evk|gemini|wasm,0.3729,0.140,0.100,0.820,0.951,0.400,0.750,0.267,2,Unknown,deep,1,2026-08-17,2026-09-18,audited-hold,"verdict:duplicate|soundness 0.33 is too low to certify; stays in the pool|resubmission of the same product — name match True, listing-title equality True, shared mechanism/text overlap 0.07, shared numeric fingerprints [] (0.00 jaccard); merged into the better-evidenced copy (A5)|merged into adversarial-compliance-matrix — same submission, richer twin published|duplicate_of:adversarial-compliance-matrix",nothing — adversarial-compliance-matrix is the same submission with more evidence; read its audit sheet instead
,,,,,,,,nua-offline-on-device-lecture-translator,Nua - Offline On-Device Lecture Translator,https://devpost.com/software/nua-offline-on-device-lecture-translator,Build with Gemini XPRIZE,XPRIZE,Accessibility & Assistive Tech,Language & Translation,offline-first-fallback|constraint-is-the-feature|make-the-invisible-measurable,kotlin|android,0.3726,0.220,0.100,0.820,0.951,0.420,0.280,0.100,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,actingym,ActinGym,https://devpost.com/software/actingym,Build with Gemini XPRIZE,XPRIZE,"Public Trust, Safety & Compliance",Civics & Discourse,,,0.3722,0.220,0.100,0.820,0.951,0.380,0.280,0.057,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
duplicate,strong,verified,0.7734,0.64,2026-09-19,1,,greenlight-screenplay-to-film,Greenlight - Screenplay to Film,https://devpost.com/software/greenlight-screenplay-to-film,Agentic Cinema: The Blockbuster Hackathon,Google,"Creative Media, Story & Play",Production & Direction,price-before-generate|offline-first-fallback|data-flywheel|model-cost-routing,clickhouse|gemini|cloud-run|firestore|mcp-clickhouse|firebase|mcp|clip|wearable|bluetooth,0.3712,0.000,0.120,0.704,0.986,0.740,0.750,0.257,0,Submitted / No Award,deep,1,2026-09-09,2026-09-18,audited-hold,"verdict:duplicate|soundness 0.77 over 64% of the rubric; 1 named unknown(s) remain → publishable with caveats|resubmission of the same product — name match False, listing-title equality False, shared mechanism/text overlap 0.26, shared numeric fingerprints ['$0.02', '$20', '$238', '$4.50'] (0.60 jaccard); merged into the better-evidenced copy (A5)|unknown: prior_art — no named competitor; a search pass would settle it|hazard: regulated-claim (no team disclaimer found)|merged into greenlight-nine-agent-production-crew — same submission, richer twin published|duplicate_of:greenlight-nine-agent-production-crew",nothing — greenlight-nine-agent-production-crew is the same submission with more evidence; read its audit sheet instead
,,,,,,,,docpulse-ihxu9r,ShareSight,https://devpost.com/software/docpulse-ihxu9r,Build with Gemini XPRIZE,XPRIZE,Learning & Knowledge Systems,Documents & Extraction,,gemini,0.3711,0.220,0.100,0.820,0.951,0.450,0.280,0.148,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,ava-ebqmj6,AVA,https://devpost.com/software/ava-ebqmj6,Build with Gemini XPRIZE,XPRIZE,"Money, Commerce & Marketplaces",General,,,0.3705,0.220,0.100,0.820,0.951,0.380,0.280,0.071,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,ai-productivity-flow,AI Productivity Flow,https://devpost.com/software/ai-productivity-flow,Build with Gemini XPRIZE,XPRIZE,"Money, Commerce & Marketplaces",Retail & Conversion,,,0.3690,0.220,0.100,0.820,0.951,0.400,0.280,0.107,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,antislop-vkjag3,Antislop,https://devpost.com/software/antislop-vkjag3,All Things Agentic Hackathon,Google,Learning & Knowledge Systems,Tutors & Adaptive Learning,,,0.3685,0.220,0.100,0.732,0.973,0.480,0.280,0.120,,Unknown,listing,0,2026-08-31,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,ceos,CEOS,https://devpost.com/software/ceos,All Things Agentic Hackathon,Google,Agentic Autonomy & Orchestration,Agent Guardrails & Gating,,go,0.3667,0.220,0.100,0.732,0.973,0.450,0.280,0.100,,Unknown,listing,0,2026-08-31,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
